vehicles	visited customers	driven distance	cost
vehicle_1	[0]	0
vehicle_2	[0]	0
vehicle_3	[0]	0
vehicle_4	[0]	0
vehicle_5	[0]	0
vehicle_6	[0]	0
vehicle_7	[0]	0
vehicle_8	[0]	0
vehicle_9	[0]	0
vehicle_10	[0]	0
vehicle_11	[0]	0
vehicle_12	[0]	0
vehicle_13	[0]	0
vehicle_14	[0]	0
vehicle_15	[0]	0
vehicle_16	[0]	0
vehicle_17	[0]	0
vehicle_18	[0]	0
vehicle_19	[0]	0
vehicle_20	[0]	0
vehicle_21	[25  0 14 20 52 80 34 90 65 92 30 11 77 93  5 37]	948.0
vehicle_22	[ 0 78 56 32 82 70 57 47  6 18 21 79 45 83 17 98]	884.0
vehicle_23	[0]	0
vehicle_24	[0]	0
vehicle_25	[0]	0
vehicle_26	[0]	0
vehicle_27	[0]	0
vehicle_28	"[ 8 46 69 64 36 66  2 62  0 26 27 67 41 28 22 88 49 50 60 42 97 72 84 89
 61 86]"	802.0
vehicle_29	[0]	0
vehicle_30	[0]	0
vehicle_31	[0]	0
vehicle_32	"[ 91   7  15  10   1  39 100  38  19  87  43  74  16  48  44  29  59   4
  51  99  75  33  85  68  12  73   3  96  71  63  23  24  35  40  31  54
  81  95  53  94   9  58   0  55  13  76]"	1506.0
vehicle_33	[0]	0
			62954.0
